scenario,scenario_code,deployment_entry,mapped_scheme,record_type,iteration,tamper_field,tamper_name,payload_bytes,policy_accept,policy_reason,verify_success_baseline,verify_total_baseline,tampered_message_reject_baseline,tampered_signature_reject_baseline,sign_mean_ms,verify_mean_ms,verify_p95_ms,verify_throughput_sig_s,pk_bytes,sig_bytes
量子计算网络节点准入,quantum_network_node_admission,节点准入控制器,titan-n8-r16,tampered,7,certificate_digest,证书摘要篡改,246,0,certificate_registry_mismatch,50,50,50,50,16.534,1.808,2.674,553.097,512,3104
量子计算网络节点准入,quantum_network_node_admission,节点准入控制器,titan-n8-r16,valid,8,,,295,1,ok,50,50,50,50,16.534,1.808,2.674,553.097,512,3104
量子计算网络节点准入,quantum_network_node_admission,节点准入控制器,titan-n8-r16,tampered,8,scheduling_domain,调度域篡改,295,0,domain_mismatch,50,50,50,50,16.534,1.808,2.674,553.097,512,3104
量子计算网络节点准入,quantum_network_node_admission,节点准入控制器,titan-n8-r16,tampered,8,node_role,节点角色篡改,294,0,role_not_allowed,50,50,50,50,16.534,1.808,2.674,553.097,512,3104
量子计算网络节点准入,quantum_network_node_admission,节点准入控制器,titan-n8-r16,tampered,8,certificate_digest,证书摘要篡改,249,0,certificate_registry_mismatch,50,50,50,50,16.534,1.808,2.674,553.097,512,3104
量子计算网络节点准入,quantum_network_node_admission,节点准入控制器,titan-n8-r16,valid,9,,,295,1,ok,50,50,50,50,16.534,1.808,2.674,553.097,512,3104
量子计算网络节点准入,quantum_network_node_admission,节点准入控制器,titan-n8-r16,tampered,9,scheduling_domain,调度域篡改,295,0,domain_mismatch,50,50,50,50,16.534,1.808,2.674,553.097,512,3104
量子计算网络节点准入,quantum_network_node_admission,节点准入控制器,titan-n8-r16,tampered,9,node_role,节点角色篡改,294,0,role_not_allowed,50,50,50,50,16.534,1.808,2.674,553.097,512,3104
量子计算网络节点准入,quantum_network_node_admission,节点准入控制器,titan-n8-r16,tampered,9,certificate_digest,证书摘要篡改,249,0,certificate_registry_mismatch,50,50,50,50,16.534,1.808,2.674,553.097,512,3104
量子计算网络节点准入,quantum_network_node_admission,节点准入控制器,titan-n8-r16,valid,10,,,292,1,ok,50,50,50,50,16.534,1.808,2.674,553.097,512,3104
量子计算网络节点准入,quantum_network_node_admission,节点准入控制器,titan-n8-r16,tampered,10,scheduling_domain,调度域篡改,292,0,domain_mismatch,50,50,50,50,16.534,1.808,2.674,553.097,512,3104
量子计算网络节点准入,quantum_network_node_admission,节点准入控制器,titan-n8-r16,tampered,10,node_role,节点角色篡改,294,0,role_not_allowed,50,50,50,50,16.534,1.808,2.674,553.097,512,3104
量子计算网络节点准入,quantum_network_node_admission,节点准入控制器,titan-n8-r16,tampered,10,certificate_digest,证书摘要篡改,246,0,certificate_registry_mismatch,50,50,50,50,16.534,1.808,2.674,553.097,512,3104
量子计算网络节点准入,quantum_network_node_admission,节点准入控制器,titan-n8-r16,valid,11,,,292,1,ok,50,50,50,50,16.534,1.808,2.674,553.097,512,3104
量子计算网络节点准入,quantum_network_node_admission,节点准入控制器,titan-n8-r16,tampered,11,scheduling_domain,调度域篡改,292,0,domain_mismatch,50,50,50,50,16.534,1.808,2.674,553.097,512,3104
量子计算网络节点准入,quantum_network_node_admission,节点准入控制器,titan-n8-r16,tampered,11,node_role,节点角色篡改,294,0,role_not_allowed,50,50,50,50,16.534,1.808,2.674,553.097,512,3104
量子计算网络节点准入,quantum_network_node_admission,节点准入控制器,titan-n8-r16,tampered,11,certificate_digest,证书摘要篡改,246,0,certificate_registry_mismatch,50,50,50,50,16.534,1.808,2.674,553.097,512,3104
量子计算网络节点准入,quantum_network_node_admission,节点准入控制器,titan-n8-r16,valid,12,,,295,1,ok,50,50,50,50,16.534,1.808,2.674,553.097,512,3104
量子计算网络节点准入,quantum_network_node_admission,节点准入控制器,titan-n8-r16,tampered,12,scheduling_domain,调度域篡改,295,0,domain_mismatch,50,50,50,50,16.534,1.808,2.674,553.097,512,3104
量子计算网络节点准入,quantum_network_node_admission,节点准入控制器,titan-n8-r16,tampered,12,node_role,节点角色篡改,294,0,role_not_allowed,50,50,50,50,16.534,1.808,2.674,553.097,512,3104
量子计算网络节点准入,quantum_network_node_admission,节点准入控制器,titan-n8-r16,tampered,12,certificate_digest,证书摘要篡改,249,0,certificate_registry_mismatch,50,50,50,50,16.534,1.808,2.674,553.097,512,3104
量子计算网络节点准入,quantum_network_node_admission,节点准入控制器,titan-n8-r16,valid,13,,,295,1,ok,50,50,50,50,16.534,1.808,2.674,553.097,512,3104
量子计算网络节点准入,quantum_network_node_admission,节点准入控制器,titan-n8-r16,tampered,13,scheduling_domain,调度域篡改,295,0,domain_mismatch,50,50,50,50,16.534,1.808,2.674,553.097,512,3104
量子计算网络节点准入,quantum_network_node_admission,节点准入控制器,titan-n8-r16,tampered,13,node_role,节点角色篡改,294,0,role_not_allowed,50,50,50,50,16.534,1.808,2.674,553.097,512,3104
量子计算网络节点准入,quantum_network_node_admission,节点准入控制器,titan-n8-r16,tampered,13,certificate_digest,证书摘要篡改,249,0,certificate_registry_mismatch,50,50,50,50,16.534,1.808,2.674,553.097,512,3104
量子计算网络节点准入,quantum_network_node_admission,节点准入控制器,titan-n8-r16,valid,14,,,292,1,ok,50,50,50,50,16.534,1.808,2.674,553.097,512,3104
量子计算网络节点准入,quantum_network_node_admission,节点准入控制器,titan-n8-r16,tampered,14,scheduling_domain,调度域篡改,292,0,domain_mismatch,50,50,50,50,16.534,1.808,2.674,553.097,512,3104
量子计算网络节点准入,quantum_network_node_admission,节点准入控制器,titan-n8-r16,tampered,14,node_role,节点角色篡改,294,0,role_not_allowed,50,50,50,50,16.534,1.808,2.674,553.097,512,3104
量子计算网络节点准入,quantum_network_node_admission,节点准入控制器,titan-n8-r16,tampered,14,certificate_digest,证书摘要篡改,246,0,certificate_registry_mismatch,50,50,50,50,16.534,1.808,2.674,553.097,512,3104
量子计算网络节点准入,quantum_network_node_admission,节点准入控制器,titan-n8-r16,valid,15,,,292,1,ok,50,50,50,50,16.534,1.808,2.674,553.097,512,3104
量子计算网络节点准入,quantum_network_node_admission,节点准入控制器,titan-n8-r16,tampered,15,scheduling_domain,调度域篡改,292,0,domain_mismatch,50,50,50,50,16.534,1.808,2.674,553.097,512,3104
量子计算网络节点准入,quantum_network_node_admission,节点准入控制器,titan-n8-r16,tampered,15,node_role,节点角色篡改,294,0,role_not_allowed,50,50,50,50,16.534,1.808,2.674,553.097,512,3104
量子计算网络节点准入,quantum_network_node_admission,节点准入控制器,titan-n8-r16,tampered,15,certificate_digest,证书摘要篡改,246,0,certificate_registry_mismatch,50,50,50,50,16.534,1.808,2.674,553.097,512,3104
量子计算网络节点准入,quantum_network_node_admission,节点准入控制器,titan-n8-r16,valid,16,,,295,1,ok,50,50,50,50,16.534,1.808,2.674,553.097,512,3104
量子计算网络节点准入,quantum_network_node_admission,节点准入控制器,titan-n8-r16,tampered,16,scheduling_domain,调度域篡改,295,0,domain_mismatch,50,50,50,50,16.534,1.808,2.674,553.097,512,3104
量子计算网络节点准入,quantum_network_node_admission,节点准入控制器,titan-n8-r16,tampered,16,node_role,节点角色篡改,294,0,role_not_allowed,50,50,50,50,16.534,1.808,2.674,553.097,512,3104
量子计算网络节点准入,quantum_network_node_admission,节点准入控制器,titan-n8-r16,tampered,16,certificate_digest,证书摘要篡改,249,0,certificate_registry_mismatch,50,50,50,50,16.534,1.808,2.674,553.097,512,3104
量子计算网络节点准入,quantum_network_node_admission,节点准入控制器,titan-n8-r16,valid,17,,,295,1,ok,50,50,50,50,16.534,1.808,2.674,553.097,512,3104
量子计算网络节点准入,quantum_network_node_admission,节点准入控制器,titan-n8-r16,tampered,17,scheduling_domain,调度域篡改,295,0,domain_mismatch,50,50,50,50,16.534,1.808,2.674,553.097,512,3104
量子计算网络节点准入,quantum_network_node_admission,节点准入控制器,titan-n8-r16,tampered,17,node_role,节点角色篡改,294,0,role_not_allowed,50,50,50,50,16.534,1.808,2.674,553.097,512,3104
量子计算网络节点准入,quantum_network_node_admission,节点准入控制器,titan-n8-r16,tampered,17,certificate_digest,证书摘要篡改,249,0,certificate_registry_mismatch,50,50,50,50,16.534,1.808,2.674,553.097,512,3104
量子计算网络节点准入,quantum_network_node_admission,节点准入控制器,titan-n8-r16,valid,18,,,292,1,ok,50,50,50,50,16.534,1.808,2.674,553.097,512,3104
量子计算网络节点准入,quantum_network_node_admission,节点准入控制器,titan-n8-r16,tampered,18,scheduling_domain,调度域篡改,292,0,domain_mismatch,50,50,50,50,16.534,1.808,2.674,553.097,512,3104
量子计算网络节点准入,quantum_network_node_admission,节点准入控制器,titan-n8-r16,tampered,18,node_role,节点角色篡改,294,0,role_not_allowed,50,50,50,50,16.534,1.808,2.674,553.097,512,3104
量子计算网络节点准入,quantum_network_node_admission,节点准入控制器,titan-n8-r16,tampered,18,certificate_digest,证书摘要篡改,246,0,certificate_registry_mismatch,50,50,50,50,16.534,1.808,2.674,553.097,512,3104
量子计算网络节点准入,quantum_network_node_admission,节点准入控制器,titan-n8-r16,valid,19,,,292,1,ok,50,50,50,50,16.534,1.808,2.674,553.097,512,3104
量子计算网络节点准入,quantum_network_node_admission,节点准入控制器,titan-n8-r16,tampered,19,scheduling_domain,调度域篡改,292,0,domain_mismatch,50,50,50,50,16.534,1.808,2.674,553.097,512,3104
量子计算网络节点准入,quantum_network_node_admission,节点准入控制器,titan-n8-r16,tampered,19,node_role,节点角色篡改,294,0,role_not_allowed,50,50,50,50,16.534,1.808,2.674,553.097,512,3104
量子计算网络节点准入,quantum_network_node_admission,节点准入控制器,titan-n8-r16,tampered,19,certificate_digest,证书摘要篡改,246,0,certificate_registry_mismatch,50,50,50,50,16.534,1.808,2.674,553.097,512,3104
量子计算网络节点准入,quantum_network_node_admission,节点准入控制器,titan-n8-r16,valid,20,,,295,1,ok,50,50,50,50,16.534,1.808,2.674,553.097,512,3104
量子计算网络节点准入,quantum_network_node_admission,节点准入控制器,titan-n8-r16,tampered,20,scheduling_domain,调度域篡改,295,0,domain_mismatch,50,50,50,50,16.534,1.808,2.674,553.097,512,3104
量子计算网络节点准入,quantum_network_node_admission,节点准入控制器,titan-n8-r16,tampered,20,node_role,节点角色篡改,294,0,role_not_allowed,50,50,50,50,16.534,1.808,2.674,553.097,512,3104
量子计算网络节点准入,quantum_network_node_admission,节点准入控制器,titan-n8-r16,tampered,20,certificate_digest,证书摘要篡改,249,0,certificate_registry_mismatch,50,50,50,50,16.534,1.808,2.674,553.097,512,3104
量子计算网络节点准入,quantum_network_node_admission,节点准入控制器,titan-n8-r16,valid,21,,,295,1,ok,50,50,50,50,16.534,1.808,2.674,553.097,512,3104
量子计算网络节点准入,quantum_network_node_admission,节点准入控制器,titan-n8-r16,tampered,21,scheduling_domain,调度域篡改,295,0,domain_mismatch,50,50,50,50,16.534,1.808,2.674,553.097,512,3104
量子计算网络节点准入,quantum_network_node_admission,节点准入控制器,titan-n8-r16,tampered,21,node_role,节点角色篡改,294,0,role_not_allowed,50,50,50,50,16.534,1.808,2.674,553.097,512,3104
量子计算网络节点准入,quantum_network_node_admission,节点准入控制器,titan-n8-r16,tampered,21,certificate_digest,证书摘要篡改,249,0,certificate_registry_mismatch,50,50,50,50,16.534,1.808,2.674,553.097,512,3104
量子计算网络节点准入,quantum_network_node_admission,节点准入控制器,titan-n8-r16,valid,22,,,292,1,ok,50,50,50,50,16.534,1.808,2.674,553.097,512,3104
量子计算网络节点准入,quantum_network_node_admission,节点准入控制器,titan-n8-r16,tampered,22,scheduling_domain,调度域篡改,292,0,domain_mismatch,50,50,50,50,16.534,1.808,2.674,553.097,512,3104
量子计算网络节点准入,quantum_network_node_admission,节点准入控制器,titan-n8-r16,tampered,22,node_role,节点角色篡改,294,0,role_not_allowed,50,50,50,50,16.534,1.808,2.674,553.097,512,3104
量子计算网络节点准入,quantum_network_node_admission,节点准入控制器,titan-n8-r16,tampered,22,certificate_digest,证书摘要篡改,246,0,certificate_registry_mismatch,50,50,50,50,16.534,1.808,2.674,553.097,512,3104
量子计算网络节点准入,quantum_network_node_admission,节点准入控制器,titan-n8-r16,valid,23,,,292,1,ok,50,50,50,50,16.534,1.808,2.674,553.097,512,3104
量子计算网络节点准入,quantum_network_node_admission,节点准入控制器,titan-n8-r16,tampered,23,scheduling_domain,调度域篡改,292,0,domain_mismatch,50,50,50,50,16.534,1.808,2.674,553.097,512,3104
量子计算网络节点准入,quantum_network_node_admission,节点准入控制器,titan-n8-r16,tampered,23,node_role,节点角色篡改,294,0,role_not_allowed,50,50,50,50,16.534,1.808,2.674,553.097,512,3104
量子计算网络节点准入,quantum_network_node_admission,节点准入控制器,titan-n8-r16,tampered,23,certificate_digest,证书摘要篡改,246,0,certificate_registry_mismatch,50,50,50,50,16.534,1.808,2.674,553.097,512,3104
量子计算网络节点准入,quantum_network_node_admission,节点准入控制器,titan-n8-r16,valid,24,,,295,1,ok,50,50,50,50,16.534,1.808,2.674,553.097,512,3104
量子计算网络节点准入,quantum_network_node_admission,节点准入控制器,titan-n8-r16,tampered,24,scheduling_domain,调度域篡改,295,0,domain_mismatch,50,50,50,50,16.534,1.808,2.674,553.097,512,3104
量子计算网络节点准入,quantum_network_node_admission,节点准入控制器,titan-n8-r16,tampered,24,node_role,节点角色篡改,294,0,role_not_allowed,50,50,50,50,16.534,1.808,2.674,553.097,512,3104
量子计算网络节点准入,quantum_network_node_admission,节点准入控制器,titan-n8-r16,tampered,24,certificate_digest,证书摘要篡改,249,0,certificate_registry_mismatch,50,50,50,50,16.534,1.808,2.674,553.097,512,3104
量子计算网络节点准入,quantum_network_node_admission,节点准入控制器,titan-n8-r16,valid,25,,,295,1,ok,50,50,50,50,16.534,1.808,2.674,553.097,512,3104
量子计算网络节点准入,quantum_network_node_admission,节点准入控制器,titan-n8-r16,tampered,25,scheduling_domain,调度域篡改,295,0,domain_mismatch,50,50,50,50,16.534,1.808,2.674,553.097,512,3104
量子计算网络节点准入,quantum_network_node_admission,节点准入控制器,titan-n8-r16,tampered,25,node_role,节点角色篡改,294,0,role_not_allowed,50,50,50,50,16.534,1.808,2.674,553.097,512,3104
量子计算网络节点准入,quantum_network_node_admission,节点准入控制器,titan-n8-r16,tampered,25,certificate_digest,证书摘要篡改,249,0,certificate_registry_mismatch,50,50,50,50,16.534,1.808,2.674,553.097,512,3104
量子计算网络节点准入,quantum_network_node_admission,节点准入控制器,titan-n8-r16,valid,26,,,292,1,ok,50,50,50,50,16.534,1.808,2.674,553.097,512,3104
量子计算网络节点准入,quantum_network_node_admission,节点准入控制器,titan-n8-r16,tampered,26,scheduling_domain,调度域篡改,292,0,domain_mismatch,50,50,50,50,16.534,1.808,2.674,553.097,512,3104
