interval_s,trials,throughput_mean_gbps,throughput_p95_gbps,throughput_ci95_low_gbps,throughput_ci95_high_gbps,overhead_mean_pct,avg_latency_mean_ms,p99_latency_mean_ms,jitter_mean_ms,avg_transition_latency_ms,avg_schedule_retries
120,300,8.1504,8.1582,8.1499,8.151,0.6046,0.1302,0.3119,0.0498,1.3932,0.630667
60,300,8.1012,8.1136,8.1003,8.1021,1.205,0.138,0.3391,0.0599,1.3942,0.640556
30,300,8.0045,8.0283,8.0029,8.0061,2.3838,0.1619,0.4184,0.0902,1.3929,0.651806
10,300,7.7991,7.8388,7.7963,7.8019,4.8891,0.2097,0.6767,0.1492,1.3902,0.667361
5,300,7.5039,7.5738,7.4991,7.5087,8.4893,0.2812,1.1147,0.2404,1.3894,0.664944
